date,sales
2014-10-01,338630
2014-11-01,339386
2014-12-01,400264
2015-01-01,314640
2015-02-01,311022
2015-03-01,360819
2015-04-01,356460
2015-05-01,365713
2015-06-01,358675
2015-07-01,362027
2015-08-01,362682
2015-09-01,346069
2015-10-01,355212
2015-11-01,365809
2015-12-01,426654
2016-01-01,335608
2016-02-01,337352
2016-03-01,387092
2016-04-01,380754
2016-05-01,391970
2016-06-01,388636
2016-07-01,384600
2016-08-01,394548
2016-09-01,374895
2016-10-01,379364
2016-11-01,391081
2016-12-01,451669
2017-01-01,355058
2017-02-01,372523
2017-03-01,414275
2017-04-01,393035
2017-05-01,418648
2017-06-01,400996
2017-07-01,396020
2017-08-01,417911
2017-09-01,385597
2017-10-01,399341
2017-11-01,410992
2017-12-01,461994
2018-01-01,375537
2018-02-01,373938
2018-03-01,421638
2018-04-01,408381
2018-05-01,436985
2018-06-01,414701
2018-07-01,422357
2018-08-01,434950
2018-09-01,396199
2018-10-01,415740
2018-11-01,423611
2018-12-01,477205
2019-01-01,383399
2019-02-01,380315
2019-03-01,432806
2019-04-01,431415
2019-05-01,458822
2019-06-01,433152
2019-07-01,443005
2019-08-01,450913
2019-09-01,420871
2019-10-01,437702
2019-11-01,437910
2019-12-01,501232
2020-01-01,397252
2020-02-01,386935
2020-03-01,444110
2020-04-01,438217
2020-05-01,462615
2020-06-01,448229
2020-07-01,457710
2020-08-01,456340
2020-09-01,430917
